100	0.007219	0.014568
200	0.024958	0.051925
300	0.056435	0.112801
400	0.095822	0.195619
500	0.148948	0.306127
600	0.210965	0.432019
700	0.284088	0.584958
800	0.369925	0.760658
900	0.467515	0.963557
1000	0.574127	1.18525
